date,latitude,longitude,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,year,month,dayofyear,dayofweek,scaled_temperature_celsius,scaled_feels_like_celsius,scaled_wind_kph,scaled_pressure_mb,scaled_precip_mm,scaled_humidity,scaled_cloud,scaled_visibility_km,scaled_uv_index,scaled_air_quality_PM2.5,scaled_air_quality_PM10
2024-05-16,20.240185185185187,18.878862433862434,23.767195767195766,74.78121693121693,9.12037037037037,14.529629629629628,160.82804232804233,1013.4021164021163,29.926084656084655,0.014444444444444444,0.0042592592592592595,61.67989417989418,37.50529100529101,25.369841269841267,77.66084656084657,9.846296296296297,5.833333333333333,4.9867724867724865,13.498677248677248,21.477248677248678,341.7252645502645,57.77910052910053,7.715230158730159,4.667109788359788,12.515343915343916,23.42199074074074,1.4206349206349207,1.9365079365079365,55.0,2024.0,5.0,137.0,3.0,0.2577253030412675,0.28321055435197423,0.22874972236496396,-0.09853630986409659,0.07011203297726873,-0.21794403211034086,-0.06404927493438857,0.12310791909657512,0.4988352742352399,-0.4201443340887334,-0.22897492726121793
2024-05-17,19.087472527472528,15.44945054945055,24.451648351648352,76.01263736263736,8.692307692307692,13.942032967032967,170.74725274725276,1013.2692307692307,29.921703296703296,0.01565934065934066,0.005714285714285714,59.76373626373626,34.28021978021978,26.37802197802198,79.47912087912088,9.80879120879121,5.802197802197802,4.021978021978022,13.943956043956044,22.28901098901099,332.7634615384615,58.47417582417582,8.221956043956043,4.292335164835165,11.744505494505495,22.374656593406595,1.3516483516483517,1.8131868131868132,63.40659340659341,2024.0,5.0,138.0,4.0,0.33160930525223486,0.37409437450178673,0.1552577320156551,-0.11892520178279345,0.12908476144718317,-0.2987142046787454,-0.15870222369148718,0.10913137598302095,0.224768034470496,-0.4665575850128049,-0.2684622105087633
2024-05-18,19.282048780487806,26.434048780487803,25.35560975609756,77.63658536585366,8.293170731707317,13.226829268292683,169.98536585365855,1012.8536585365854,29.90839024390244,0.01478048780487805,0.004878048780487805,58.58536585365854,34.40487804878049,27.598780487804877,81.66829268292683,9.910731707317073,5.873170731707317,4.9609756097560975,13.326341463414634,21.12829268292683,326.8508536585366,59.755609756097556,6.625668292682927,4.148536585365854,11.860000000000001,23.750670731707316,1.3609756097560977,1.8439024390243903,71.99024390243902,2024.0,5.0,139.0,5.0,0.4291884333351114,0.48414130948992956,0.06580565260231377,-0.1826872289622926,0.08642403856752524,-0.34838504890765903,-0.15504361528169472,0.14712024275931312,0.491507206821484,-0.45960350057830357,-0.21658281731795545
2024-05-19,19.483711340206185,20.99742268041237,25.270103092783504,77.48762886597939,8.533505154639176,13.608505154639175,167.659793814433,1012.0412371134021,29.884896907216497,0.017164948453608248,0.006288659793814433,60.36082474226804,34.649484536082475,27.296907216494848,81.12783505154638,9.812886597938144,5.804123711340206,5.190721649484536,13.161340206185567,20.873711340206185,318.1909793814433,62.197422680412366,5.7420773195876285,3.783582474226804,11.246907216494845,23.133698453608247,1.324742268041237,1.6855670103092784,80.54639175257732,2024.0,5.0,140.0,6.0,0.41995832062189714,0.45692853317398063,0.11354268438187386,-0.3073385718503102,0.20216902868322387,-0.2735456426082885,-0.14786463420113347,0.11065755247764084,0.5567707062018087,-0.4965186677927397,-0.23984431333925196
2024-05-20,19.202871794871793,21.65497435897436,25.43076923076923,77.77538461538462,9.017435897435897,13.772564102564104,174.54358974358973,1012.4410256410256,29.89676923076923,0.01348717948717949,0.0065128205128205125,59.61025641025641,38.753846153846155,27.442564102564102,81.38461538461539,9.820512820512821,5.805128205128205,5.164102564102564,13.817948717948719,21.386666666666663,343.7194871794872,57.75589743589743,7.555184615384615,4.303051282051282,13.174358974358974,25.66019230769231,1.4564102564102563,2.0153846153846153,87.56923076923077,2024.0,5.0,141.0,0.0,0.43730160716037797,0.4700589711298787,0.1340618931948291,-0.24599826813916778,0.023645079087406498,-0.30518371021730645,-0.027405300817509286,0.11349951967993209,0.5492090756971673,-0.3804641229446925,-0.14458877460470682
2024-05-21,19.202871794871793,21.65497435897436,25.38307692307692,77.69076923076923,9.812820512820513,14.558974358974359,156.54871794871795,1012.6666666666666,29.902410256410256,0.01625641025641026,0.0056410256410256415,60.77948717948718,36.91282051282051,27.25333333333333,81.04820512820513,9.792307692307693,5.794871794871795,5.184615384615385,15.073333333333334,22.8625641025641,341.88000000000005,56.221538461538465,7.577410256410256,4.257294871794872,12.971794871794872,26.34179487179487,1.4820512820512821,2.0358974358974358,92.6923076923077,2024.0,5.0,142.0,1.0,0.4321534074939207,0.45300050625544735,0.23241993137581105,-0.21137774232071285,0.15806733855450797,-0.25589812148440233,-0.08143775266100499,0.1029886739092397,0.5550361117166328,-0.3926607886353973,-0.11889054488549185
2024-05-22,19.202871794871793,21.65497435897436,25.123076923076923,77.22153846153847,9.55948717948718,15.031538461538462,163.25128205128206,1012.7538461538461,29.905487179487178,0.016512820512820513,0.0069743589743589745,60.88205128205128,37.18974358974359,27.20564102564103,80.95846153846153,9.782564102564102,5.8,5.138461538461539,14.433333333333334,22.750256410256412,334.90910256410257,58.683076923076925,7.243220512820512,4.278833333333333,12.554871794871795,25.178397435897434,1.4307692307692308,1.964102564102564,96.75384615384615,2024.0,5.0,143.0,2.0,0.4040874157638796,0.4487012183602655,0.2915245496893258,-0.19800163007267343,0.1705138440607211,-0.25157482422713,-0.07331030865111983,0.09935765446118232,0.5419252806728353,-0.4177643056139871,-0.16275372283847153
2024-05-23,19.202871794871793,21.65497435897436,25.066153846153846,77.12,8.76871794871795,13.967692307692307,179.02564102564102,1013.2205128205128,29.91948717948718,0.016564102564102564,0.006564102564102565,61.287179487179486,39.748717948717946,26.957948717948717,80.51179487179486,9.77897435897436,5.774358974358974,5.133333333333334,13.664615384615384,21.807692307692307,322.60692307692307,59.933846153846154,7.037241025641025,4.106525641025641,12.008205128205129,24.15878205128205,1.4205128205128206,1.9076923076923078,99.81538461538462,2024.0,5.0,144.0,3.0,0.3979427903555274,0.426372658646579,0.1584670014621024,-0.12640008803905076,0.1730031451619637,-0.23449780006090448,0.001793294329115122,0.09801991045400328,0.540468521667969,-0.45067986416156003,-0.2011959350000284
2024-05-24,19.202871794871793,21.65497435897436,25.08871794871795,77.16051282051282,8.815897435897435,13.865897435897436,164.0102564102564,1013.7538461538461,29.935384615384613,0.015692307692307693,0.0069743589743589745,59.635897435897434,35.16410256410256,26.96051282051282,80.5174358974359,9.892307692307693,5.851282051282051,5.133333333333334,13.653846153846153,21.255384615384617,334.21012820512817,61.232307692307685,7.690738461538461,4.218205128205128,12.091282051282052,22.529679487179486,1.4256410256410257,1.8871794871794871,100.0,2024.0,5.0,145.0,4.0,0.40037849772460393,0.42660380315707264,0.14573529583515432,-0.04456975428633912,0.13068502644083915,-0.30410288590298834,-0.13276105650120562,0.14025439982351273,0.540468521667969,-0.4456776873466381,-0.26261743505496404
2024-05-25,19.202871794871793,21.65497435897436,25.249743589743588,77.44564102564102,8.647692307692308,13.864358974358975,163.94871794871796,1013.8307692307692,29.937641025641028,0.016102564102564103,0.008205128205128205,59.84102564102564,39.76923076923077,27.196410256410257,80.9502564102564,10.003076923076923,5.912820512820513,5.1179487179487175,13.322051282051284,21.208717948717947,323.31871794871796,60.312820512820515,6.679979487179487,4.059858974358974,11.638461538461538,22.026153846153843,1.4102564102564104,1.8615384615384616,98.12307692307692,2024.0,5.0,146.0,5.0,0.41776059122210474,0.4478690981224883,0.14554287711031377,-0.032767302302774935,0.1505994352507801,-0.29545629138844376,0.0023953272187362392,0.18153335775932286,0.5360982446533697,-0.4729426387514288,-0.2816016910922474
