model,MAE,RMSE,MAPE_percent,R2
Linear_Regression,0.35293736131330655,1.0823360233298822,3.486116222472581,0.8347499481686617
Ensemble_Average,0.5166035130875942,1.0937122967675186,4.379160891266541,0.8312578540943176
Gradient_Boosting,0.6253661686806712,1.1634037851025913,5.020594678710394,0.8090681754697653
Random_Forest,0.7132228931657022,1.2549830532659478,5.469244234743693,0.7778260683561151
Naive_Last_Day,0.3881860858753755,1.3364461028364687,3.706261534821468,0.7480465696773668
