country,year,month,avg_temperature_celsius,avg_precip_mm,observations
Afghanistan,2024.0,5.0,20.305882352941175,0.013529411764705884,17
Afghanistan,2024.0,6.0,25.59,0.005666666666666667,30
Afghanistan,2024.0,7.0,31.303448275862067,0.0003448275862068966,29
Afghanistan,2024.0,8.0,30.848387096774193,0.0038709677419354843,31
Afghanistan,2024.0,9.0,28.216666666666665,0.0026666666666666666,30
Afghanistan,2024.0,10.0,21.98709677419355,0.0029032258064516127,31
Afghanistan,2024.0,11.0,15.67,0.002,30
Afghanistan,2024.0,12.0,7.174193548387097,0.0003225806451612903,31
Afghanistan,2025.0,1.0,1.3516129032258066,0.00967741935483871,31
Afghanistan,2025.0,2.0,4.789285714285714,0.007500000000000001,28
Afghanistan,2025.0,3.0,11.993548387096775,0.007096774193548388,31
Afghanistan,2025.0,4.0,22.986666666666668,0.0013333333333333333,30
Afghanistan,2025.0,5.0,27.26774193548387,0.008387096774193548,31
Afghanistan,2025.0,6.0,31.013333333333332,0.002,30
Afghanistan,2025.0,7.0,32.880645161290325,0.0006451612903225806,31
Afghanistan,2025.0,8.0,30.480645161290322,0.0,31
Afghanistan,2025.0,9.0,26.833333333333332,0.0,30
Afghanistan,2025.0,10.0,20.26451612903226,0.0003225806451612903,31
Afghanistan,2025.0,11.0,13.923333333333334,0.0,30
Afghanistan,2025.0,12.0,8.619354838709677,0.005806451612903225,31
Afghanistan,2026.0,1.0,2.230000000000001,0.009000000000000001,30
Afghanistan,2026.0,2.0,6.671428571428572,0.005714285714285714,28
Afghanistan,2026.0,3.0,12.316129032258065,0.010967741935483872,31
Afghanistan,2026.0,4.0,15.976666666666667,0.01633333333333333,30
Afghanistan,2026.0,5.0,23.541935483870965,0.0016129032258064516,31
Afghanistan,2026.0,6.0,25.711764705882356,0.0,17
Albania,2024.0,5.0,25.647058823529413,0.027058823529411767,17
Albania,2024.0,6.0,30.84333333333333,0.008333333333333333,30
Albania,2024.0,7.0,34.63793103448276,0.004482758620689655,29
Albania,2024.0,8.0,34.980645161290326,0.005483870967741936,31
Albania,2024.0,9.0,27.516666666666666,0.025,30
Albania,2024.0,10.0,21.835483870967742,0.012580645161290323,31
Albania,2024.0,11.0,13.783333333333333,0.013333333333333334,30
Albania,2024.0,12.0,11.741935483870968,0.014193548387096775,31
Albania,2025.0,1.0,13.425806451612903,0.011290322580645162,31
Albania,2025.0,2.0,12.428571428571429,0.012142857142857144,28
Albania,2025.0,3.0,16.067741935483873,0.021612903225806453,31
Albania,2025.0,4.0,18.403333333333332,0.023333333333333334,30
Albania,2025.0,5.0,21.664516129032258,0.019354838709677424,31
Albania,2025.0,6.0,29.323333333333334,0.0,30
Albania,2025.0,7.0,30.361290322580647,0.0038709677419354843,31
Albania,2025.0,8.0,28.22258064516129,0.0029032258064516127,31
Albania,2025.0,9.0,23.373333333333335,0.008333333333333333,30
Albania,2025.0,10.0,15.170967741935485,0.016129032258064516,31
Albania,2025.0,11.0,12.423333333333334,0.025333333333333333,30
Albania,2025.0,12.0,5.306451612903226,0.0009677419354838711,31
Albania,2026.0,1.0,6.696666666666667,0.019333333333333334,30
Albania,2026.0,2.0,7.903571428571429,0.020714285714285716,28
Albania,2026.0,3.0,8.086206896551724,0.0027586206896551726,29
Albania,2026.0,4.0,13.736666666666668,0.007000000000000001,30
Albania,2026.0,5.0,17.593548387096774,0.011612903225806452,31
Albania,2026.0,6.0,21.241176470588236,0.0035294117647058825,17
Algeria,2024.0,5.0,26.11764705882353,0.0005882352941176471,17
Algeria,2024.0,6.0,27.89,0.0,30
Algeria,2024.0,7.0,30.29642857142857,0.0,28
Algeria,2024.0,8.0,31.483870967741936,0.0,31
Algeria,2024.0,9.0,28.43,0.004333333333333333,30
Algeria,2024.0,10.0,23.76774193548387,0.011290322580645162,31
Algeria,2024.0,11.0,19.44333333333333,0.007000000000000001,30
Algeria,2024.0,12.0,14.748387096774193,0.00903225806451613,31
Algeria,2025.0,1.0,15.019354838709678,0.011935483870967743,31
Algeria,2025.0,2.0,15.424999999999999,0.011428571428571429,28
Algeria,2025.0,3.0,17.616129032258065,0.010967741935483872,31
Algeria,2025.0,4.0,19.7,0.008666666666666666,30
Algeria,2025.0,5.0,22.274193548387096,0.008064516129032258,31
Algeria,2025.0,6.0,28.503333333333334,0.0,30
Algeria,2025.0,7.0,29.34193548387097,0.0025806451612903226,31
Algeria,2025.0,8.0,27.712903225806453,0.0,31
Algeria,2025.0,9.0,24.243333333333332,0.004333333333333333,30
Algeria,2025.0,10.0,19.029032258064515,0.0025806451612903226,31
Algeria,2025.0,11.0,12.66,0.014000000000000002,30
Algeria,2025.0,12.0,9.606451612903227,0.011935483870967743,31
Algeria,2026.0,1.0,10.163333333333332,0.025,30
Algeria,2026.0,2.0,11.200000000000001,0.007500000000000001,28
Algeria,2026.0,3.0,10.655172413793103,0.012413793103448275,29
