feature,temperature_celsius,feels_like_celsius,wind_kph,pressure_mb,precip_mm,humidity,cloud,visibility_km,uv_index,air_quality_PM2.5,air_quality_PM10
temperature_celsius,1.0,0.9816256145551986,0.13937122291044002,-0.4419568658225458,0.047400148562470025,-0.3455645709361148,-0.12904476346366647,0.11011354171740563,0.495070315460733,0.09383919527452587,0.1821384236431792
feels_like_celsius,0.9816256145551986,1.0,0.11411007726229601,-0.44335350695972015,0.10088896060836723,-0.2468875140844733,-0.07466238056649575,0.12195732939539387,0.4411144940880673,0.06859448645766904,0.14594996610330827
wind_kph,0.13937122291044002,0.11411007726229601,1.0,-0.17353244604441892,0.06562313766500864,-0.1145397622122099,0.027170708833551275,0.13281402717513804,0.07714297436233208,-0.09589853890091103,0.00796369361424739
pressure_mb,-0.4419568658225458,-0.44335350695972015,-0.17353244604441892,1.0,-0.20920503758160677,0.003919998821629112,-0.10806063806030654,-0.01931645860334417,-0.09418663709924321,0.028029878502814375,-0.03866437933024515
precip_mm,0.047400148562470025,0.10088896060836723,0.06562313766500864,-0.20920503758160677,1.0,0.3426625237475359,0.49688284017059536,-0.0136076615930229,-0.09937356739836584,-0.20584881125243565,-0.2235015330138295
humidity,-0.3455645709361148,-0.2468875140844733,-0.1145397622122099,0.003919998821629112,0.3426625237475359,1.0,0.5063920716780825,-0.10715669409837526,-0.5500494735104685,-0.28736937873290963,-0.3557702113497769
cloud,-0.12904476346366647,-0.07466238056649575,0.027170708833551275,-0.10806063806030654,0.49688284017059536,0.5063920716780825,1.0,-0.05169422097647181,-0.19785563280606908,-0.2410090307567127,-0.28205085118079515
visibility_km,0.11011354171740563,0.12195732939539387,0.13281402717513804,-0.01931645860334417,-0.0136076615930229,-0.10715669409837526,-0.05169422097647181,1.0,0.029532354601956544,-0.14426343517557055,-0.12393092018126116
uv_index,0.495070315460733,0.4411144940880673,0.07714297436233208,-0.09418663709924321,-0.09937356739836584,-0.5500494735104685,-0.19785563280606908,0.029532354601956544,1.0,0.09937500269911244,0.15498473681957778
air_quality_PM2.5,0.09383919527452587,0.06859448645766904,-0.09589853890091103,0.028029878502814375,-0.20584881125243565,-0.28736937873290963,-0.2410090307567127,-0.14426343517557055,0.09937500269911244,1.0,0.9065077806410671
air_quality_PM10,0.1821384236431792,0.14594996610330827,0.00796369361424739,-0.03866437933024515,-0.2235015330138295,-0.3557702113497769,-0.28205085118079515,-0.12393092018126116,0.15498473681957778,0.9065077806410671,1.0
